Time,Ambient (deg C)
2018-04-05 16:39:54.592714,7.5
2018-04-05 16:49:54.590405,7.5
2018-04-05 16:59:54.588096,7.5
2018-04-05 17:09:54.585786,7.5
2018-04-05 17:19:54.583477,7.5
2018-04-05 17:29:54.581168,7.4
2018-04-05 17:39:54.578859,7.5
2018-04-05 17:49:54.576549,7.5
2018-04-05 17:59:54.574240,7.4
2018-04-05 18:09:54.571931,7.4
2018-04-05 18:19:54.569621,7.4
2018-04-05 18:29:54.567312,7.4
2018-04-05 18:39:54.565003,7.4
2018-04-05 18:49:54.562693,7.4
2018-04-05 18:59:54.560384,7.4
2018-04-05 19:09:54.558075,7.3
2018-04-05 19:19:54.555766,7.4
2018-04-05 19:29:54.553456,7.3
2018-04-05 19:39:54.551147,7.3
2018-04-05 19:49:54.548838,7.3
2018-04-05 19:59:54.546528,7.4
2018-04-05 20:09:54.544219,7.3
2018-04-05 20:19:54.541910,7.3
2018-04-05 20:29:54.539600,7.3
2018-04-05 20:39:54.537291,7.3
2018-04-05 20:49:54.534982,7.3
2018-04-05 20:59:54.532672,7.1
2018-04-05 21:09:54.530363,7.3
2018-04-05 21:19:54.528054,7.3
2018-04-05 21:29:54.525745,7.3
2018-04-05 21:39:54.523435,7.1
2018-04-05 21:49:54.521126,7.1
2018-04-05 21:59:54.518817,7.1
2018-04-05 22:09:54.516507,7.1
2018-04-05 22:19:54.514198,7.1
2018-04-05 22:29:54.511889,7.0
2018-04-05 22:39:54.509579,7.0
2018-04-05 22:49:54.507270,7.0
2018-04-05 22:59:54.504961,7.0
2018-04-05 23:09:54.502652,7.0
2018-04-05 23:19:54.500342,7.0
2018-04-05 23:29:54.498033,7.0
2018-04-05 23:39:54.495724,7.0
2018-04-05 23:49:54.493414,7.0
2018-04-05 23:59:54.491105,7.0
2018-04-06 00:09:54.488796,7.0
2018-04-06 00:19:54.486486,7.0
2018-04-06 00:29:54.484177,7.0
2018-04-06 00:39:54.481868,7.0
2018-04-06 00:49:54.479559,6.9
2018-04-06 00:59:54.477249,6.9
2018-04-06 01:09:54.474940,6.9
2018-04-06 01:19:54.472631,6.9
2018-04-06 01:29:54.470321,6.9
2018-04-06 01:39:54.468012,6.9
2018-04-06 01:49:54.465703,6.9
2018-04-06 01:59:54.463393,6.8
2018-04-06 02:09:54.461084,6.8
2018-04-06 02:19:54.458775,6.8
2018-04-06 02:29:54.456466,6.8
2018-04-06 02:39:54.454156,6.8
2018-04-06 02:49:54.451847,6.8
2018-04-06 02:59:54.449538,6.8
2018-04-06 03:09:54.447228,6.6
2018-04-06 03:19:54.444919,6.6
2018-04-06 03:29:54.442610,6.6
2018-04-06 03:39:54.440300,6.6
2018-04-06 03:49:54.437991,6.6
2018-04-06 03:59:54.435682,6.6
2018-04-06 04:09:54.433373,6.6
2018-04-06 04:19:54.431063,6.6
2018-04-06 04:29:54.428754,6.6
2018-04-06 04:39:54.426445,6.6
2018-04-06 04:49:54.424135,6.6
2018-04-06 04:59:54.421826,6.5
2018-04-06 05:09:54.419517,6.6
2018-04-06 05:19:54.417207,6.6
2018-04-06 05:29:54.414898,6.6
2018-04-06 05:39:54.412589,6.6
2018-04-06 05:49:54.410280,6.6
2018-04-06 05:59:54.407970,6.5
2018-04-06 06:09:54.405661,6.6
2018-04-06 06:19:54.403352,6.6
2018-04-06 06:29:54.401042,6.5
2018-04-06 06:39:54.398733,6.6
2018-04-06 06:49:54.396424,6.6
2018-04-06 06:59:54.394114,6.6
2018-04-06 07:09:54.391805,6.6
2018-04-06 07:19:54.389496,6.8
2018-04-06 07:29:54.387187,6.8
2018-04-06 07:39:54.384877,6.8
2018-04-06 07:49:54.382568,6.9
2018-04-06 07:59:54.380259,6.9
2018-04-06 08:09:54.377949,6.9
2018-04-06 08:19:54.375640,7.0
2018-04-06 08:29:54.373331,7.0
2018-04-06 08:39:54.371021,7.0
2018-04-06 08:49:54.368712,7.0
2018-04-06 08:59:54.366403,7.0
2018-04-06 09:09:54.364094,7.0
2018-04-06 09:19:54.361784,7.0
2018-04-06 09:29:54.359475,7.1
2018-04-06 09:39:54.357166,7.1
2018-04-06 09:49:54.354856,7.1
2018-04-06 09:59:54.352547,7.3
2018-04-06 10:09:54.350238,7.3
2018-04-06 10:19:54.347928,7.3
2018-04-06 10:29:54.345619,7.3
2018-04-06 10:39:54.343310,7.4
2018-04-06 10:49:54.341001,7.4
2018-04-06 10:59:54.338691,7.4
2018-04-06 11:09:54.336382,7.5
2018-04-06 11:19:54.334073,7.4
2018-04-06 11:29:54.331763,7.4
2018-04-06 11:39:54.329454,7.5
2018-04-06 11:49:54.327145,7.5
2018-04-06 11:59:54.324835,7.5
2018-04-06 12:09:54.322526,7.5
2018-04-06 12:19:54.320217,7.5
2018-04-06 12:29:54.317908,7.5
2018-04-06 12:39:54.315598,7.5
2018-04-06 12:49:54.313289,7.5
2018-04-06 12:59:54.310980,7.5
2018-04-06 13:09:54.308670,7.6
2018-04-06 13:19:54.306361,7.5
2018-04-06 13:29:54.304052,7.6
2018-04-06 13:39:54.301742,7.6
2018-04-06 13:49:54.299433,7.6
2018-04-06 13:59:54.297124,7.6
2018-04-06 14:09:54.294815,7.8
2018-04-06 14:19:54.292505,7.6
2018-04-06 14:29:54.290196,7.6
2018-04-06 14:39:54.287887,7.8
2018-04-06 14:49:54.285577,7.6
2018-04-06 14:59:54.283268,7.8
2018-04-06 15:09:54.280959,7.8
2018-04-06 15:19:54.278649,7.8
2018-04-06 15:29:54.276340,7.8
2018-04-06 15:39:54.274031,7.8
2018-04-06 15:49:54.271722,7.8
2018-04-06 15:59:54.269412,7.9
2018-04-06 16:09:54.267103,7.9
2018-04-06 16:19:54.264794,7.9
2018-04-06 16:29:54.262484,7.9
2018-04-06 16:39:54.260175,7.9
2018-04-06 16:49:54.257866,7.9
2018-04-06 16:59:54.255556,7.9
2018-04-06 17:09:54.253247,7.9
2018-04-06 17:19:54.250938,7.9
2018-04-06 17:29:54.248629,7.9
2018-04-06 17:39:54.246319,7.9
2018-04-06 17:49:54.244010,7.9
2018-04-06 17:59:54.241701,7.9
2018-04-06 18:09:54.239391,8.0
2018-04-06 18:19:54.237082,8.0
2018-04-06 18:29:54.234773,8.0
2018-04-06 18:39:54.232463,8.0
2018-04-06 18:49:54.230154,8.0
2018-04-06 18:59:54.227845,8.0
2018-04-06 19:09:54.225536,8.0
2018-04-06 19:19:54.223226,8.0
2018-04-06 19:29:54.220917,8.0
2018-04-06 19:39:54.218608,8.0
2018-04-06 19:49:54.216298,8.0
2018-04-06 19:59:54.213989,8.1
2018-04-06 20:09:54.211680,8.0
2018-04-06 20:19:54.209370,8.0
2018-04-06 20:29:54.207061,8.0
2018-04-06 20:39:54.204752,8.0
2018-04-06 20:49:54.202443,8.0
2018-04-06 20:59:54.200133,8.0
2018-04-06 21:09:54.197824,7.9
2018-04-06 21:19:54.195515,8.0
2018-04-06 21:29:54.193205,8.0
2018-04-06 21:39:54.190896,8.0
2018-04-06 21:49:54.188587,7.9
2018-04-06 21:59:54.186277,7.9
2018-04-06 22:09:54.183968,7.9
2018-04-06 22:19:54.181659,7.9
2018-04-06 22:29:54.179350,7.9
2018-04-06 22:39:54.177040,7.8
2018-04-06 22:49:54.174731,7.9
2018-04-06 22:59:54.172422,7.8
2018-04-06 23:09:54.170112,7.8
2018-04-06 23:19:54.167803,7.8
2018-04-06 23:29:54.165494,7.8
2018-04-06 23:39:54.163184,7.8
2018-04-06 23:49:54.160875,7.6
2018-04-06 23:59:54.158566,7.6
2018-04-07 00:09:54.156256,7.6
2018-04-07 00:19:54.153947,7.5
2018-04-07 00:29:54.151638,7.6
2018-04-07 00:39:54.149329,7.5
2018-04-07 00:49:54.147019,7.5
2018-04-07 00:59:54.144710,7.5
2018-04-07 01:09:54.142401,7.5
2018-04-07 01:19:54.140091,7.5
2018-04-07 01:29:54.137782,7.5
2018-04-07 01:39:54.135473,7.5
2018-04-07 01:49:54.133163,7.5
2018-04-07 01:59:54.130854,7.4
2018-04-07 02:09:54.128545,7.4
2018-04-07 02:19:54.126236,7.4
2018-04-07 02:29:54.123926,7.3
2018-04-07 02:39:54.121617,7.3
2018-04-07 02:49:54.119308,7.4
2018-04-07 02:59:54.116998,7.3
2018-04-07 03:09:54.114689,7.3
2018-04-07 03:19:54.112380,7.3
2018-04-07 03:29:54.110070,7.1
2018-04-07 03:39:54.107761,7.3
2018-04-07 03:49:54.105452,7.1
