receiver_SN,SyncTime,Id
461207,2018-04-04 17:36:21.630496,46903
461059,2018-04-04 17:36:21.636947,46903
461210,2018-04-04 17:36:22.706878,46903
461214,2018-04-04 17:36:22.718266,46903
461209,2018-04-04 17:36:22.733804,46903
461207,2018-04-04 17:36:22.742581,46903
461059,2018-04-04 17:36:22.749069,46903
461075,2018-04-04 17:36:22.766141,46903
461206,2018-04-04 17:36:22.782336,46903
461059,2018-04-04 17:36:23.873046,46903
461209,2018-04-04 17:36:25.005743,46903
461059,2018-04-04 17:36:25.021041,46903
461210,2018-04-04 17:36:30.670011,46903
461209,2018-04-04 17:36:30.697041,46903
461059,2018-04-04 17:36:30.712249,46903
461075,2018-04-04 17:36:30.729267,46903
461209,2018-04-04 17:36:31.880885,46903
461207,2018-04-04 17:36:31.889430,46903
461059,2018-04-04 17:36:31.896148,46903
461075,2018-04-04 17:36:31.913124,46903
461206,2018-04-04 17:36:31.929482,46903
461210,2018-04-04 17:36:33.121834,46903
461209,2018-04-04 17:36:33.148882,46903
461207,2018-04-04 17:36:33.157322,46903
461059,2018-04-04 17:36:33.164154,46903
461075,2018-04-04 17:36:33.181088,46903
461209,2018-04-04 17:36:34.404840,46903
461207,2018-04-04 17:36:34.413251,46903
461059,2018-04-04 17:36:34.420074,46903
461075,2018-04-04 17:36:34.437058,46903
461206,2018-04-04 17:36:34.453368,46903
461208,2018-04-04 17:36:35.670538,46903
461209,2018-04-04 17:36:36.772955,46903
461207,2018-04-04 17:36:36.781312,46903
461059,2018-04-04 17:36:36.788223,46903
461208,2018-04-04 17:36:36.818563,46903
461210,2018-04-04 17:36:37.941816,46903
461209,2018-04-04 17:36:37.968868,46903
461059,2018-04-04 17:36:37.984100,46903
461208,2018-04-04 17:36:38.014471,46903
461209,2018-04-04 17:36:39.069124,46903
461209,2018-04-04 17:36:41.281477,46903
461218,2018-04-04 17:36:43.521518,46903
461209,2018-04-04 17:36:45.860296,46903
461207,2018-04-04 17:36:45.868698,46903
461209,2018-04-04 17:36:57.759162,46903
461209,2018-04-04 17:36:58.883023,46903
461059,2018-04-04 17:36:58.898269,46903
461209,2018-04-04 17:37:00.043048,46903
461208,2018-04-04 17:37:00.088660,46903
461209,2018-04-04 17:37:06.298681,46903
461059,2018-04-04 17:37:06.313873,46903
461075,2018-04-04 17:37:06.330759,46903
461059,2018-04-04 17:37:07.593719,46903
461075,2018-04-04 17:37:07.610656,46903
461208,2018-04-04 17:37:07.624152,46903
461209,2018-04-04 17:37:08.858432,46903
461059,2018-04-04 17:37:08.873657,46903
461075,2018-04-04 17:37:08.890521,46903
461209,2018-04-04 17:37:10.138375,46903
461207,2018-04-04 17:37:10.146572,46903
461059,2018-04-04 17:37:10.153518,46903
461075,2018-04-04 17:37:10.170386,46903
461206,2018-04-04 17:37:10.186798,46903
461210,2018-04-04 17:37:11.391236,46903
461209,2018-04-04 17:37:11.418290,46903
461207,2018-04-04 17:37:11.426426,46903
461059,2018-04-04 17:37:11.433395,46903
461075,2018-04-04 17:37:11.450267,46903
461209,2018-04-04 17:37:12.698173,46903
461059,2018-04-04 17:37:12.713287,46903
461075,2018-04-04 17:37:12.730102,46903
461210,2018-04-04 17:37:13.950909,46903
461209,2018-04-04 17:37:13.978041,46903
461059,2018-04-04 17:37:13.993164,46903
461211,2018-04-04 17:37:13.995492,46903
461209,2018-04-04 17:37:15.257909,46903
461059,2018-04-04 17:37:15.273025,46903
461211,2018-04-04 17:37:15.275399,46903
461075,2018-04-04 17:37:15.289802,46903
461208,2018-04-04 17:37:15.303474,46903
461210,2018-04-04 17:37:16.510900,46903
461209,2018-04-04 17:37:16.537914,46903
461207,2018-04-04 17:37:16.545648,46903
461059,2018-04-04 17:37:16.552947,46903
461209,2018-04-04 17:37:17.817920,46903
461207,2018-04-04 17:37:17.825548,46903
461059,2018-04-04 17:37:17.832977,46903
461211,2018-04-04 17:37:17.835412,46903
461075,2018-04-04 17:37:17.849700,46903
461208,2018-04-04 17:37:17.863517,46903
461206,2018-04-04 17:37:17.866337,46903
461212,2018-04-04 17:37:17.868189,46903
461214,2018-04-04 17:37:19.083006,46903
461209,2018-04-04 17:37:19.098139,46903
461207,2018-04-04 17:37:19.105632,46903
461059,2018-04-04 17:37:19.113159,46903
461211,2018-04-04 17:37:19.115608,46903
461075,2018-04-04 17:37:19.129856,46903
461210,2018-04-04 17:37:20.339322,46903
461214,2018-04-04 17:37:20.351035,46903
461209,2018-04-04 17:37:20.366425,46903
461207,2018-04-04 17:37:20.373890,46903
461059,2018-04-04 17:37:20.381469,46903
461211,2018-04-04 17:37:20.383949,46903
461075,2018-04-04 17:37:20.398155,46903
461208,2018-04-04 17:37:20.411995,46903
461206,2018-04-04 17:37:20.414821,46903
461212,2018-04-04 17:37:20.416700,46903
461210,2018-04-04 17:37:21.583582,46903
461209,2018-04-04 17:37:21.610663,46903
461207,2018-04-04 17:37:21.618101,46903
461059,2018-04-04 17:37:21.625732,46903
461211,2018-04-04 17:37:21.628181,46903
461075,2018-04-04 17:37:21.642361,46903
461208,2018-04-04 17:37:21.656273,46903
461212,2018-04-04 17:37:21.660926,46903
461209,2018-04-04 17:37:22.806715,46903
461207,2018-04-04 17:37:22.814032,46903
461059,2018-04-04 17:37:22.821746,46903
461211,2018-04-04 17:37:22.824272,46903
461075,2018-04-04 17:37:22.838396,46903
461212,2018-04-04 17:37:22.856996,46903
461209,2018-04-04 17:37:23.906726,46903
461059,2018-04-04 17:37:23.921722,46903
461211,2018-04-04 17:37:23.924293,46903
461218,2018-04-04 17:37:28.333656,46903
461209,2018-04-04 17:37:28.354397,46903
461059,2018-04-04 17:37:28.369400,46903
461211,2018-04-04 17:37:28.371970,46903
461218,2018-04-04 17:37:29.613913,46903
461214,2018-04-04 17:37:29.618861,46903
461209,2018-04-04 17:37:29.634280,46903
461211,2018-04-04 17:37:29.651831,46903
461075,2018-04-04 17:37:29.665865,46903
461212,2018-04-04 17:37:29.684632,46903
461209,2018-04-04 17:37:30.902383,46903
461059,2018-04-04 17:37:30.917343,46903
461211,2018-04-04 17:37:30.919913,46903
461075,2018-04-04 17:37:30.933890,46903
461212,2018-04-04 17:37:30.952738,46903
461209,2018-04-04 17:37:34.442349,46903
461211,2018-04-04 17:37:34.459876,46903
461210,2018-04-04 17:37:42.607737,46903
461218,2018-04-04 17:37:43.895712,46903
461218,2018-04-04 17:37:46.419944,46903
461218,2018-04-04 17:37:47.652412,46903
461218,2018-04-04 17:37:48.824471,46903
461218,2018-04-04 17:37:51.264827,46903
461209,2018-04-04 17:37:53.531162,46903
461218,2018-04-04 17:37:54.685150,46903
461218,2018-04-04 17:37:55.941453,46903
461215,2018-04-04 17:37:57.183051,46903
461218,2018-04-04 17:37:58.345798,46903
461218,2018-04-04 17:38:02.006765,46903
461209,2018-04-04 17:38:05.573323,46903
461059,2018-04-04 17:38:05.591186,46903
